"county_code","date_id","Trump","Clinton","Johnson","Stein"
1003,"0917",2.93,7.00,0,0
1005,"0917",1.47,4.59,0,0
1007,"0917",1.99,6.21,0,0
1009,"0917",3.09,6.50,0,0
1011,"0917",6.61,7.20,0,0
1013,"0917",2.51,2.89,0,0
1015,"0917",2.07,5.05,0,0
1017,"0917",1.82,4.21,0,0
1019,"0917",4.83,4.61,0,0
1021,"0917",2.41,4.72,0,0
1023,"0917",2.44,3.98,0,0
1025,"0917",2.90,3.70,0,0
1027,"0917",1.41,4.40,0,0
1029,"0917",4.39,7.05,0,0
1031,"0917",3.10,6.08,0,0
1033,"0917",2.68,7.17,0,0
1035,"0917",2.28,2.89,0,0
1037,"0917",1.61,2.74,0,0
1039,"0917",1.70,6.30,0,0
1041,"0917",1.44,4.70,0,0
1043,"0917",2.20,6.27,0,0
1045,"0917",1.87,5.72,0,0
1047,"0917",3.46,3.08,0,0
1049,"0917",2.07,5.21,0,0
1051,"0917",2.03,4.93,0,0
1053,"0917",2.36,3.15,0,0
1055,"0917",2.34,5.98,0,0
1057,"0917",0.48,3.18,0,0
1059,"0917",1.44,4.83,0,0
1061,"0917",2.14,5.95,0,0
1063,"0917",2.95,2.95,0,0
1065,"0917",3.75,5.68,0,0
1067,"0917",1.56,5.29,0,0
1069,"0917",1.98,5.52,0,0
1071,"0917",2.98,5.20,0,0
1073,"0917",2.33,6.19,0,0
1075,"0917",3.67,3.87,0,0
1077,"0917",2.25,5.24,0,0
1079,"0917",1.94,3.92,0,0
1081,"0917",1.94,5.18,0,0
1083,"0917",2.37,5.08,0,0
1085,"0917",2.36,3.69,0,0
1087,"0917",2.34,5.53,0,0
1089,"0917",2.42,6.16,0,0
1091,"0917",4.50,5.63,0,0
1093,"0917",1.97,5.28,0,0
1095,"0917",3.00,5.84,0,0
1097,"0917",2.52,5.57,0,0
1099,"0917",2.95,5.03,0,0
1101,"0917",2.19,4.60,0,0
1103,"0917",2.22,6.01,0,0
1105,"0917",3.32,1.66,0,0
1107,"0917",2.05,4.50,0,0
1109,"0917",1.97,5.56,0,0
1111,"0917",1.96,2.82,0,0
1113,"0917",2.01,4.15,0,0
1115,"0917",2.33,6.17,0,0
1117,"0917",2.41,7.37,0,0
1119,"0917",2.34,3.57,0,0
1121,"0917",1.55,4.49,0,0
1123,"0917",1.52,4.86,0,0
1125,"0917",2.32,5.62,0,0
1127,"0917",2.55,6.68,0,0
1129,"0917",1.99,2.73,0,0
1131,"0917",1.88,3.23,0,0
1133,"0917",6.06,6.06,0,0
2013,"0917",0.00,0.00,0,0
2016,"0917",1.09,2.45,0,0
2020,"0917",1.78,4.08,0,0
2050,"0917",1.08,2.17,0,0
2060,"0917",8.33,0.00,0,0
2068,"0917",1.32,2.05,0,0
2070,"0917",5.22,4.35,0,0
2090,"0917",2.11,4.65,0,0
2100,"0917",2.25,4.50,0,0
2110,"0917",1.27,4.10,0,0
2122,"0917",2.35,4.27,0,0
2130,"0917",0.00,0.00,0,0
2150,"0917",1.37,3.93,0,0
2164,"0917",0.00,0.00,0,0
2170,"0917",2.37,4.85,0,0
2180,"0917",2.64,2.97,0,0
2185,"0917",3.38,2.95,0,0
2188,"0917",1.63,3.27,0,0
2201,"0917",2.16,4.14,0,0
2220,"0917",2.79,4.09,0,0
2232,"0917",0.00,1.96,0,0
2240,"0917",1.74,3.82,0,0
2261,"0917",2.28,4.76,0,0
2270,"0917",0.00,0.00,0,0
2280,"0917",1.18,5.59,0,0
2282,"0917",0.00,0.00,0,0
2290,"0917",1.73,3.55,0,0
4001,"0917",1.44,3.74,0,0
4003,"0917",2.14,4.87,0,0
4005,"0917",1.80,4.33,0,0
4007,"0917",1.84,5.37,0,0
4009,"0917",1.51,4.78,0,0
4011,"0917",4.68,4.80,0,0
4012,"0917",1.69,3.83,0,0
4013,"0917",2.38,5.16,0,0
4015,"0917",2.45,5.90,0,0
4017,"0917",1.83,4.86,0,0
4019,"0917",2.28,4.98,0,0
4021,"0917",2.20,4.92,0,0
4023,"0917",1.40,3.59,0,0
4025,"0917",2.66,6.89,0,0
4027,"0917",2.16,3.47,0,0
5001,"0917",3.64,6.69,0,0
5003,"0917",1.69,4.35,0,0
5005,"0917",1.87,6.83,0,0
5007,"0917",2.06,5.54,0,0
5009,"0917",2.62,6.41,0,0
5011,"0917",1.53,2.11,0,0
5013,"0917",2.18,5.24,0,0
5015,"0917",3.75,7.49,0,0
5017,"0917",3.18,6.37,0,0
5019,"0917",2.87,3.64,0,0
5021,"0917",0.86,4.67,0,0
5023,"0917",3.50,7.38,0,0
5025,"0917",4.37,6.01,0,0
5027,"0917",3.08,6.05,0,0
5029,"0917",1.92,5.34,0,0
5031,"0917",2.66,4.78,0,0
5033,"0917",1.93,5.77,0,0
5035,"0917",1.85,3.99,0,0
5037,"0917",3.99,7.15,0,0
5039,"0917",2.86,6.79,0,0
5041,"0917",1.61,2.86,0,0
5043,"0917",1.75,4.58,0,0
5045,"0917",2.39,5.44,0,0
5047,"0917",2.08,5.45,0,0
5049,"0917",1.81,6.24,0,0
5051,"0917",2.68,6.50,0,0
5053,"0917",2.06,6.46,0,0
5055,"0917",2.88,5.19,0,0
5057,"0917",2.80,3.58,0,0
5059,"0917",2.56,6.12,0,0
5061,"0917",2.49,4.28,0,0
5063,"0917",1.41,4.35,0,0
5065,"0917",0.48,8.31,0,0
5067,"0917",2.74,3.43,0,0
5069,"0917",1.73,3.51,0,0
5071,"0917",2.15,4.51,0,0
5073,"0917",2.26,8.64,0,0
5075,"0917",2.06,5.53,0,0
5077,"0917",1.56,3.65,0,0
5079,"0917",2.45,2.26,0,0
5081,"0917",1.57,3.62,0,0
5083,"0917",1.04,3.86,0,0
5085,"0917",1.94,6.24,0,0
5087,"0917",2.32,4.54,0,0
5089,"0917",1.60,6.30,0,0
5091,"0917",2.18,5.44,0,0
5093,"0917",2.46,3.32,0,0
5095,"0917",2.38,3.87,0,0
5097,"0917",3.97,5.56,0,0
5099,"0917",5.84,4.94,0,0
5101,"0917",1.44,4.48,0,0
5103,"0917",2.81,5.26,0,0
5105,"0917",0.23,3.18,0,0
5107,"0917",1.93,3.12,0,0
5109,"0917",2.81,3.80,0,0
5111,"0917",1.54,3.30,0,0
5113,"0917",1.59,3.99,0,0
5115,"0917",2.73,5.50,0,0
5117,"0917",1.74,2.99,0,0
5119,"0917",2.09,4.70,0,0
5121,"0917",1.54,4.05,0,0
5123,"0917",2.22,3.41,0,0
5125,"0917",2.44,6.17,0,0
5127,"0917",3.40,4.88,0,0
5129,"0917",1.25,5.33,0,0
5131,"0917",2.37,5.31,0,0
